"episode"	"plot"	"season"	"title"	"rating"
9	"The entire Bartlet family tries to gather for an early Christmas dinner at the White House, but inevitable delays occur as the president must deal with an overseas crisis. Ellie is held up at her lab, and five-year-old grandson Gus is having tantrums. In addition, Doug Westin (Jed and Abby's son-in-law) approaches Josh about running for an open congressional seat in his home district. Josh, Leo and the New Hampshire Democratic Party have already chosen a viable local candidate, but Doug persists. Jed, who likes and respects Doug, still thinks it's should be Liz who ...    "	5	"Abu el Banat"	7.7
10	"Bartlet travels with former presidents Newman and Walken aboard Air Force One to the funeral of another former president. Meanwhile, Leo sits in the situation room dealing with demonstrations that are wracking Saudi Arabia and threatening to topple the royal family and CJ tries to deal with rumors of military mind control experiments. On board the plane, Toby tries to write Bartlet's eulogy as the crisis in Saudi Arabia grows worse.    "	5	"The Stormy Present"	7.6
11	"In inexplicably finishing the speech early Toby is left with nothing to do. However, the State of the Union speech needs testing, so Toby flies out to meet Joey Lucas to perform mall tests.    "	5	"The Benign Prerogative"	7.7
12	"Toby awakens at 3 a.m. with an idea of how to save the social security program for future generations, leading him to meet in secret with the president and volunteer to ""touch the third rail"" of American politics. Toby meets with influential Republican senator Gaines about putting aside partisanship in the interest of preserving the critical safety net, and he gets a favorable response, but someone who saw them together leaks the meeting to the press. Toby also gets Dem. senator Brainerd on board with assurances that both sides need to compromise and that the ...    "	5	"Slow News Day"	8.1
13	"A nuclear device is tested in the Indian Ocean, but none of the known nuclear powers will claim responsibility, leading to the possibility of a terrorist group holding missile tests. Vice President Russell, heretofore dismissed by west wing staff as a joke, a four-term congressman alleged to be securely in the pocket of a large Colorado mining company, recalls a junket he'd taken early in his political career in which a drunken Israeli statesman confessed to secret missile tests. Russell visits the sit. room and puts the military and national security leaders at ease,...    "	5	"The Warfare of Genghis Khan"	8.0
14	"A Navy Hawkeye AWACS crew is missing in North Korea, a Broadcaster has called CJ a chicken and a proposed tax break for stay at home moms causes Josh stress. Amidst the usual West Wing mêlée, Leo finds himself hearing things about the man who saved his life in Vietnam, that he doesn't believe.    "	5	"An Khe"	7.7
15	"Press leaks lead to the revelation that former VP John Hoynes is about to release a tell-all book about the administration.    "	5	"Full Disclosure"	7.7
16	"A Republican Congresswoman targets Ellie in an attempt to discredit the President; C.J. urges Abby to appear on Sesame Street; Josh works to keep a judicial nominee from withdrawing.    "	5	"Eppur Si Muove"	7.7
17	"A Supreme Court Justice dies, forcing the administration's hand on picking a desirable replacement who can be confirmed by a hostile Congress.    "	5	"The Supremes"	9.1
18	"A documentary-style look at the day in the life of press secretary C.J. Cregg on a day that turns out to be anything but normal due to a FBI/terrorist standoff.    "	5	"Access"	7.1
19	"The president and staff are about to head for Brussels to sign an international free trade deal that Josh has just spent a lot of time and effort negotiating, to nearly everyone's satisfaction; at the 11th hour, the CEO of an IBM-like company tells Josh that the first effect of the new agreement, of which his company is a huge beneficiary, will be the immediate transfer of 17,000 programming jobs to India; the head of the communications workers' union, which is representing the affected programmers, brings one of the programmers to Josh's office, and they refuse to ...    "	5	"Talking Points"	7.7
20	"When a bio-hazard alarm goes off in the White House, the staff are locked down where they are - forcing them to have conversations they would have otherwise avoided.    "	5	"No Exit"	8.0
21	"A fact finding codel to the Middle East is torn apart by an explosion. Key members of the administration and their loved ones are caught in the mess. The President is forced to consider retaliatory military action the unstable area, with possible repercussions that could last decades.    "	5	"Gaza"	8.5
22	"The President finds himself at odds with Leo, and the entire country, on his position regarding retaliation for the bombing in Gaza.    "	5	"Memorial Day"	8.3
1	"Josh maintains a vigil beside Donna's bed in hospital, and needles Colin over his background and relationship with Donna. President Bartlet is determined to reject the unanimous demands of Congress, the American public, and his entire staff to retaliate for the roadside bombing. Leo tries to find a way to talk the President around while Kate tries various long-shot attempts at getting the Israelis and Palestinians to negotiate at Camp David.    "	6	"N.S.F. Thurmont"	8.1
2	"Josh returns from Germany in time to voice concerns about Leo; the Israelis and Palenstinians meet at Camp David with little chance of an agreement; the President and Leo's differences over the Middle East crisis reach a breaking point.    "	6	"The Birnam Wood"	8.4
3	"Leo is found in the woods and rushed to hospital; the staff struggle to hold the peace deal together without a Chief of Staff; the President neglects his duties out of loyalty and guilt towards Leo; Donna arrives back in the USA.    "	6	"Third-Day Story"	8.0
4	"C.J.'s first day as Chief of Staff gives her a new appreciation for Leo's skill in the role. While struggling to keep up with her hectic schedule, she must handle the sudden appearance of abandoned Soviet nuclear material, counter political maneuvering within the Cabinet, and assert her authority with the staff and the President. Toby conducts a press briefing after which C.J. orders him to quickly find someone to fill the role permanently. The Democratic Party enlists Josh's help to talk Congressman Matt Santos out of taking an early retirement.    "	6	"Liftoff"	8.4
5	"Josh visits a car dealership and is seduced by both a hybrid and a monster SUV, despite knowing that Congress is unlikely to raise fuel efficiency standards. For political cover as well as genuine concern, he meets with representatives of the alternative energy industries. Charlie has graduated from college and is reluctant to keep his promise to the President of finding a ""real"" job. Following press complaints about Toby he agrees to take deportment lessons from Annabeth. C.J. visits Leo at his hotel and finds out why he's so insistent that the President play chess ...    "	6	"The Hubbert Peak"	7.7
6	"The glow of the Middle East peace deal begins to fade once the hard reality of implementing change begins. Josh becomes involved in the Patient's Bill of Rights, which is becoming a political football as the Vice President and Congressman Santos both try to out-maneuver each other and the Republicans. C.J. continues to be unimpressed with Toby's performance as press secretary when he gets into a difficult position during a briefing. While working to recover from his heart attack, Leo receives a job offer from the corporate world.    "	6	"The Dover Test"	7.6
7	"After spending months negotiating a difficult summit with China, Josh is dismayed to learn that the President accepted a flag symbolizing Taiwanese independence. Vice President Hoynes appears on television to promote his book and indicates a desire to return to politics. With the Iowa caucuses only a few months away, Vice President Russell and others begin positioning themselves to win the Democratic presidential nomination. President Bartlet finds tying his bow tie unexpectedly difficult.    "	6	"A Change Is Gonna Come"	7.8
8	"Magicians Penn and Teller give a controversial performance at Zoey's birthday party in the White House that threatens to drown out the news of the impending China trip. President Bartlet goes to New Orleans on his way to China after unexpectedly requesting briefings be postponed until they are in the air. Josh tries to decide which Democratic presidential candidate he wants to support, and is alarmed that Bartlet wants to appoint California Republican Senator Arnold Vinick to be Ambassador to the United Nations.    "	6	"In the Room"	8.4
9	"President Bartet's attack of multiple sclerosis requires hasty reorganization of the summit in China. Unable to endure the long meetings, he becomes frustrated when the Chinese take advantage of his absence to drag their feet over North Korea. Back at the White House, Josh is told by NASA that a large asteroid is on a collision course with earth; staffers are unsure whether to prepare for the end of the world or not. Donna becomes frustrated when Josh continually postpones what she says is an important conversation. With the New Hampshire primary looming and Vinick ...    "	6	"Impact Winter"	8.6
10	"On the same day that an anti-gay-marriage amendment is attached to the federal budget, an Internet rumor surfaces that C.J. is a lesbian. Josh and Toby attempt to kill the amendment without forcing the President to publicly take a position on this unwinnable issue. Congressman Santos considers Josh's proposition that he run for President despite having told his wife that he's done with politics. Donna begins her new job while Josh struggles to cope with her difficult replacement. Abby and C.J. meet with the President's doctors to decide how to adapt his schedule to ...    "	6	"Faith-Based Initiative"	8.1
11	"Josh and Santos visit New Hampshire to launch the presidential campaign. Josh has experience running national campaigns and has a clear idea about what candidates should and shouldn't do to get elected, but Santos's approach differs dramatically: he believes in talking about big ideas rather than saying whatever he needs to do in order to win votes. This difference in opinion combined with conventional wisdom that says Santos has no chance of winning threaten to sink the campaign before it has begun. Will and Donna are also in New Hampshire, running Vice President Bob...    "	6	"Opposition Research"	7.9
12	"Leo returns to the White House to help bolster the administration, which is suffering from the loss of Josh, Donna, Will, and the Vice President to the next election campaign. Leo's first day back follows President Bartlet's last State of the Union address, and unlike in previous years there appears to be little momentum on bold, large-scale initiatives. Amidst numerous distractions that dilute the focus of the staff (kidnappings in Colombia, the First Lady's appearance at a NASCAR race, and petulant Congressmen), he challenges the administration on their agenda for ...    "	6	"365 Days"	7.8
13	"A day in the lives of presidential candidates Bob Russell, Matt Santos, and Arnold Vinick, who are in Iowa trying to gain support for their campaigns. Iowa is the first state in the nation to hold their presidential caucuses, and issues affecting farmers and rural areas are the focus. The most important issue on the table is the large federal subsidies for ethanol fuel given to corn growers, which is supported by Iowa residents but seen as naked pandering by the rest of the country. Josh continues to clash with Santos over winning votes instead of proposing radical ...    "	6	"King Corn"	8.0
14	"A rapidly-escalating international crisis involving Iran and the UK requires C.J. to wake the President, triggering a confrontation with Abbey about allowing him enough rest to properly manage his MS. British Ambassador Lord John Marbury is summoned, and proceeds to wander the halls looking for ""Gerald"" while threatening to bomb Iran. Toby and Professor Lawrence Lessig meet with a delegation from Belarus to discuss a new constitution, and disagree on whether to base it on a parliamentary or presidential system. The latest Miss World makes a traditional visit to the ...    "	6	"The Wake Up Call"	7.8
15	"Five days before the New Hampshire Democratic primary, the Santos campaign risks extinction as Matt has not been invited to the last debate. Josh proposes a number of strategies to get Santos into the debate, including deal-making, legal challenges, attack ads, and publicity stunts - but the Congressman is reluctant to play along. With Josh scrambling to keep the campaign alive, Santos calls in help from Washington to tune his message. Hoynes and Russell launch attack ads on each other's records, and Josh realizes that a desperate long-shot is needed to keep Santos in...    "	6	"Freedonia"	8.3
16	"Back in Washington briefly, Josh visits the White House and is surprised to discover that as a campaign manager he is no longer part of the inner circle in an administration that wants to remain neutral in the Democratic primary. Toby is the focus of some concern after being more withdrawn than usual and also because he is nursing a cut on his face that he doesn't want to talk about. Charlie tells Kate that a guy at his gym has been asking about her, but she's unsure if she's ready to date again. A multi-state water rights fight pitches C.J. against lobbyist Cliff ...    "	6	"Drought Conditions"	8.1
17	"The Speaker of the House deliberately calls a vote on stem cell research when he knows that Democrats will be away from Washington; Donna, Cliff, Matt, and Josh must put aside their differences to foil the plan. Kate is shocked when a minor hunting mishap on the Canadian border threatens to become a major international incident. A Japanese economist who has been President Bartlet's arch-rival since college is attending a formal dinner at the White House, creating a potentially explosive situation. Toby tries to avoid meeting with a group of middle school children who ...    "	6	"A Good Day"	8.5
18	"Hoynes and Russell are campaigning in New York, confident of their prospects in the California primary. Santos needs to do unexpectedly well in California in order to stay financially afloat; another third place finish will see his donors shift their money elsewhere, finishing his campaign. Santos's message of education and health care is overshadowed when California passes a law prohibiting drivers licenses for illegal immigrants. Despite the bill being widely supported by most voters, Matt cannot publicly endorse it as he's counting on the support of Latino voters, ...    "	6	"La Palabra"	8.3
19	"Rumors circulate in Washington yet again about the state of Fidel Castro's health. As C.J. begins to look into the issue she uncovers some dark secrets regarding the United States' relationship with Cuba which appear to involve Leo, the President, and Kate Harper. Despite how closely guarded and potentially explosive this information is, a startlingly large number of government agencies and officials appear to know bits and pieces of the story. This results in undercover political maneuvering to avoid what is expected to be an enormous political disaster. Meanwhile, ...    "	6	"Ninety Miles Away"	7.3
20	"Senator Arnold Vinick easily wins the Republican nomination on the night of the New Jersey primary, but has difficulty picking a running mate. Choosing Reverend Don Butler would virtually guarantee him the presidency, but their differing views on abortion and religion would make it a political union rather than one based on shared ideology. The Democratic nomination is a toss-up between Santos and Russell; Hoynes is running a distant third. With no clear nominee going into the convention, the Democratic party risks appearing unsure about both Santos and Russell - a ...    "	6	"In God We Trust"	8.3
21	"While Vinick and the Republicans deliver a flawless albeit predictable convention, the Democratic convention looks to be more like a pie fight as there is no clear favorite. Russell tries to preempt the floor vote by hinting offers of the vice presidential nomination to both Santos and Governor Baker of Pennsylvania. Charlie and Zoey's relationship is becoming more serious, resulting in different reactions from the President and the First Lady. An air leak on the International Space Station will kill all three astronauts unless a rescue mission can be launched. NASA ...    "	6	"Things Fall Apart"	8.1
22	"WHO WILL BE THE DEMOCRATIC PRESIDENTIAL CANDIDATE? - It's the Democratic National Convention and the race to become the Democratic Presidential candidate has narrowed to three candidates: Russell, Baker and Santos. Also, Bartlet must wrestle with the decision to launch the super-secret defense shuttle to rescue the astronauts trapped at the space station and risk national security or let them die.    "	6	"2162 Votes"	8.9
1	"Four days after the Democratic convention, Josh begins to staff up the Santos campaign. With Santos and Leo effectively strangers - and Leo not an experienced campaigner - adjustments of roles and responsibilities are required in order to deliver a strong and consistent message. The White House prepares to launch the military Space Shuttle on its rescue mission to the Space Station amidst growing suspicion that proof of its existence was deliberately leaked by someone in the Administration. The Republicans offer Bartlet a concession on an education bill in an attempt ...    "	7	"The Ticket"	8.0
2	"Despite vigorous campaigning, the Santos campaign still struggles to articulate its message and keep the focus on domestic issues rather than gossip and trivia. Although Santos served decades in the military and remains in the reserves, Vinick still appears the stronger candidate on national security issues due to stereotypes about Republicans and Democrats. The White House's decision to halt their own investigation into the leak is a savvy legal move, however it could prove to be costly politically: while Vinick can slam the President for this decision, it's not so ...    "	7	"The Mommy Problem"	7.9
3	"With Santos gaining momentum, the Vinick campaign devises a strategy to catch them off-guard by focusing on immigration issues: by taking a pro-immigration stance, they force Santos to spend time courting the Latino vote. A powerful Christian group is nervous about supporting a Republican presidential candidate who is pro-choice, and demands a guarantee that Vinick only appoint pro-life judges. Vinick hopes that the strong religious credentials of his running mate Sullivan will be enough to satisfy the Christian base, but inevitably finds himself in a difficult ...    "	7	"Message of the Week"	7.9
4	"The Santos campaign faces questions on intelligent design and evolution during a campaign stop focusing on education in Pennsylvania. Margaret testifies before the committee investigating the leak, which has also served most current and former members of the Bartlet administration with subpoenas. A suicide bombing in the Middle East throws the region into chaos and threatens to postpone all campaigning. An intelligence analyst assigned to brief the Vinick campaign demands to speak with CJ.    "	7	"Mr. Frost"	7.9
5	"Toby's confession sends shock waves through the White House; Kate tracks developments following the assassination in Kazakhstan; the Santos campaign appears stalled.    "	7	"Here Today"	8.5
6	"A pro-life special interest group launches an ad attacking Santos for his abortion stance, but Vinick also sees it as trouble since he's also pro-choice and doesn't want to draw attention to the issue. With Vinick ahead in the polls, he has no incentive to debate Santos and thus continues to drag his feet over negotiations. Back at the White House, C.J. orders new Communications Director Will Bailey to not answer questions from the press about the leak investigation.    "	7	"The Al Smith Dinner"	8.0
7	"A live debate between Santos and Vinick, performed once for the east coast and once for the west.    "	7	"The Debate"	8.8
8	"The Santos campaign's difficulties with the black community continue when a Latino police officer shoots a black child; C.J. offloads preparations for Ellie's wedding to Will when Kate needs her help with Kazakhstan; Josh visits Toby.    "	7	"Undecideds"	8.1
9	"President Bartlet's plan to attend his daughter Ellie's White House wedding is jeopardized when Russia and China mobilize troops over growing chaos in Kazakhstan. The Santos campaign has gained ground on Vinick over the last few weeks, but with less than two months until the election it's not clear that the gap can be closed. As Josh obsesses over the electoral math, tracking polls, and decisions on where to spend advertising money, some Democrats are nervous that the election is slipping away, and urge Santos to fire Josh as campaign manager.    "	7	"The Wedding"	8.0
10	"Leo's preparation for the Vice Presidential debate is going badly; Santos makes his last trip home before the election; Will and Kate continue to flirt.    "	7	"Running Mates"	8.3
11	"Danny tells C.J. some important news about the President's son-in-law over dinner; C.J. attempts to broker an international deal to stop genocide in Darfur; Josh twists C.J.'s arm to get her to help the Santos campaign.    "	7	"Internal Displacement"	8.1
12	"A nuclear accident in California sends the White House and both campaigns into overdrive. Meanwhile, China and Russia appear headed for a showdown over elections and oil in Kazakhstan.    "	7	"Duck and Cover"	8.5
13	"The Vinick campaign struggles with the impact of the nuclear accident in California; Josh and Donna have a ""moment"".    "	7	"The Cold"	8.3
14	"Both candidates face vital choices about which states to campaign in; Vinick tries to put the nuclear issue behind him; Bruno finds Santos's briefcase.    "	7	"Two Weeks Out"	8.1
15	"A federal prosecutor's threat to indict Toby on another charge has the potential to affect the impending election.    "	7	"Welcome to Wherever You Are"	7.9
16	"Election day finally arrives; C.J. ponders job offers; the election looks too close to call.    "	7	"Election Day: Part 1"	8.6
17	"Polls are closing across the country, and the race is too close to call; friends and colleagues react to the news about Leo.    "	7	"Election Day: Part 2"	9.0
18	"President Bartlet and his current and former staffers come together for Leo's funeral.    "	7	"Requiem"	8.9
19	"THE PRESIDENT AND PRESIDENT-ELECT SEE FOREIGN POLICY DIFFERENTLY - Eyebrows are raised when the President-elect places a call to the president of China and offers a different position than that of Bartlet. Meanwhile, Josh picks his deputy chief of staff.    "	7	"Transition"	8.5
20	"BEING PRESIDENT CAN BE HARD ON THE FAMILY - While Santos is wrapped up in choosing his new Vice President, Helen is overwhelmed by the issues facing the new First Family. Meanwhile, Vinick must find a new road now that the election is over.    "	7	"The Last Hurrah"	8.4
21	"Two weeks before the inauguration, CJ and the rest of the Bartlett administration consider what they will do next. CJ examines her relationship with Danny and considers whether or not to suggest to the President pardoning Toby.    "	7	"Institutional Memory"	8.6
22	"Santos and his staff prepare for the inauguration as Bartlet and his team look back on their years in the White House. Series Finale.    "	7	"Tomorrow"	8.9
