"episode"	"plot"	"rating"	"season"	"title"
0	"In New York, with brain-swapping aliens poised to attack, the Doctor and Nardole link up with an investigative reporter and a mysterious masked superhero known only as the Ghost. Can the Doctor save Manhattan? And what will be revealed when we see behind the mask?    "	7.6	10	"The Return of Doctor Mysterio"
1	"The Doctor and Nardole team up with a university student to take down a sinister life-mimicking alien.    "	8.1	10	"The Pilot"
2	"In the far future, at the edge of the galaxy, there is a gleaming, perfect city. This brand new human settlement is said to hold the secret of human happiness - but the only smiles the Doctor and Bill can find are on a pile of grinning skulls. Something is alive in the walls, and the emojibots are watching from the shadows, as the Doctor and Bill try to unravel a terrifying mystery...    "	7.3	10	"Smile"
3	"The Doctor and Bill visit London during the last of the River Thames frost fairs in February 1814. They soon discover that there is something under the ice which is causing people to disappear.    "	7.5	10	"Thin Ice"
4	"Bill is moving in with some friends and they've found the perfect house rented by the landlord. The wind blows, the floorboards creak and the Doctor thinks something is very wrong.    "	7.7	10	"Knock Knock"
5	"When the Doctor, Bill and Nardole become trapped on a space station without oxygen, they discover the spacesuits are trying to kill them.    "	8.3	10	"Oxygen"
6	"The Haereticum holds an ancient book known only as The Veritas. Throughout history, anyone who has ever read it has immediately taken their own life. When a new translation is online, spreading danger, the Vatican appeals to the Doctor for help. Will he read The Veritas? But can even the Doctor survive the ultimate truth?    "	8.6	10	"Extremis"
7	"A 5,000-year-old pyramid appears overnight, baffling everyone including the Doctor.    "	7.9	10	"The Pyramid at the End of the World"
8	"Earth is invaded and Bill is living alone in occupied Britain. The Doctor appears to be on the side of the enemy, flooding the airwaves with fake news. Bill and Nardole embark on a deadly mission to rescue the Doctor and lead the resistance against the new regime, whatever the cost.    "	7.4	10	"The Lie of the Land"
9	"The Doctor, Bill and Nardole discover a tomb of the Queen of the Ice Warriors on Mars in 1881.    "	7.3	10	"Empress of Mars"
10	"A long time ago, the Roman legion of the ninth vanished into the mists of Scotland. Bill has a theory about what happened, and the Doctor has a time machine. But when they arrive in ancient Aberdeenshire, what they find is a far greater threat than any army. In a cairn, on a hillside, is a doorway leading to the end of the world.    "	7.2	10	"The Eaters of Light"
11	"Trapped on a giant spaceship, caught in the event horizon of a black hole, he witnesses the death of someone he is pledged to protect. Are events already out of control?    "	9.3	10	"World Enough and Time"
12	"The Doctor makes a final stand against an army of Cybermen to protect a tiny band of humans from destruction.    "	9.0	10	"The Doctor Falls"
